method,scenario,nodes,trial,sla_pct
Tavousi-Fuzzy,Normal Load,1000,7,18.195
Tavousi-Fuzzy,Normal Load,1000,8,18.195
Tavousi-Fuzzy,Normal Load,1000,9,18.514
Tavousi-Fuzzy,Normal Load,1000,10,18.195
Tavousi-Fuzzy,Burst Load,100,1,21.878
Tavousi-Fuzzy,Burst Load,100,2,18.267
Tavousi-Fuzzy,Burst Load,100,3,18.263
Tavousi-Fuzzy,Burst Load,100,4,21.878
Tavousi-Fuzzy,Burst Load,100,5,18.267
Tavousi-Fuzzy,Burst Load,100,6,18.263
Tavousi-Fuzzy,Burst Load,100,7,21.878
Tavousi-Fuzzy,Burst Load,100,8,18.267
Tavousi-Fuzzy,Burst Load,100,9,18.263
Tavousi-Fuzzy,Burst Load,100,10,21.878
Tavousi-Fuzzy,Burst Load,300,1,19.563
Tavousi-Fuzzy,Burst Load,300,2,19.564
Tavousi-Fuzzy,Burst Load,300,3,18.429
Tavousi-Fuzzy,Burst Load,300,4,19.563
Tavousi-Fuzzy,Burst Load,300,5,19.564
Tavousi-Fuzzy,Burst Load,300,6,18.429
Tavousi-Fuzzy,Burst Load,300,7,19.563
Tavousi-Fuzzy,Burst Load,300,8,19.564
Tavousi-Fuzzy,Burst Load,300,9,18.429
Tavousi-Fuzzy,Burst Load,300,10,19.563
Tavousi-Fuzzy,Burst Load,500,1,19.011
Tavousi-Fuzzy,Burst Load,500,2,19.011
Tavousi-Fuzzy,Burst Load,500,3,19.011
Tavousi-Fuzzy,Burst Load,500,4,19.011
Tavousi-Fuzzy,Burst Load,500,5,19.011
Tavousi-Fuzzy,Burst Load,500,6,19.011
Tavousi-Fuzzy,Burst Load,500,7,19.011
Tavousi-Fuzzy,Burst Load,500,8,19.011
Tavousi-Fuzzy,Burst Load,500,9,19.011
Tavousi-Fuzzy,Burst Load,500,10,19.011
Tavousi-Fuzzy,Burst Load,1000,1,18.718
Tavousi-Fuzzy,Burst Load,1000,2,18.718
Tavousi-Fuzzy,Burst Load,1000,3,19.049
Tavousi-Fuzzy,Burst Load,1000,4,18.718
Tavousi-Fuzzy,Burst Load,1000,5,18.718
